study_hours,attendance,sleep_hours,midterm,department,label
11.0,0.92,4.2,47,企管,pass
9.5,0.77,8.7,37,傳播,fail
7.6,0.31,6.6,28,企管,fail
3.2,0.94,6.3,46,設計,fail
8.4,0.52,5.8,49,設計,fail
10.6,0.7,8.8,60,傳播,pass
5.3,0.32,7.4,73,資工,fail
10.7,0.86,5.1,65,資工,pass
1.7,0.94,7.0,78,資工,pass
5.0,0.56,6.7,73,傳播,pass
6.3,0.32,8.8,46,資工,fail
8.0,0.99,7.5,63,企管,pass
2.3,0.99,6.2,63,資工,pass
11.9,0.38,6.9,72,設計,fail
4.2,0.47,5.3,47,資工,fail
4.9,0.84,7.5,70,設計,pass
0.2,0.5,4.2,64,設計,fail
9.8,0.84,7.3,32,設計,fail
9.7,0.44,5.0,53,設計,fail
1.2,0.78,7.9,57,傳播,fail
3.2,1.0,8.1,39,企管,fail
2.9,0.92,4.1,53,資工,fail
0.7,0.9,4.6,73,設計,pass
5.8,0.33,6.0,46,設計,fail
8.6,0.98,5.4,45,設計,pass
5.6,0.3,8.6,53,設計,fail
7.5,0.92,6.7,56,傳播,fail
0.5,0.85,8.3,49,傳播,fail
10.2,0.65,5.3,78,企管,pass
10.1,0.47,4.6,67,傳播,fail
5.5,0.56,5.1,79,設計,pass
8.6,0.64,8.5,82,資工,pass
4.7,0.6,4.5,65,設計,pass
4.9,0.45,8.9,52,設計,fail
8.7,0.43,4.2,64,企管,fail
8.7,0.83,8.0,69,資工,pass
9.0,0.42,8.1,44,企管,fail
10.0,0.84,5.7,45,資工,fail
10.1,0.52,7.8,78,傳播,fail
5.5,0.78,7.5,69,企管,pass
10.5,0.69,8.9,52,資工,fail
7.9,0.61,4.4,56,傳播,fail
2.9,0.48,6.6,62,傳播,fail
1.5,0.92,4.1,76,設計,pass
8.2,0.45,8.0,53,傳播,fail
1.8,0.99,4.0,58,企管,pass
5.8,0.67,7.5,52,設計,fail
5.1,0.43,6.6,42,資工,fail
0.1,0.69,7.5,66,傳播,fail
11.2,0.91,5.7,48,資工,fail
2.2,0.42,6.6,59,設計,fail
3.1,0.44,7.1,43,傳播,fail
7.2,0.9,7.6,66,企管,pass
7.5,0.87,4.7,64,企管,pass
7.3,0.59,7.6,72,設計,pass
4.9,0.65,6.3,60,設計,fail
0.3,0.99,8.9,64,資工,pass
11.7,0.97,8.2,70,設計,pass
9.4,0.99,8.3,67,設計,pass
11.0,0.83,5.1,62,設計,pass
8.1,0.78,4.1,59,設計,pass
6.1,0.53,9.0,59,傳播,fail
7.2,0.79,5.0,38,設計,fail
1.9,0.36,5.5,57,資工,fail
3.4,0.66,6.9,83,設計,pass
8.2,0.36,7.4,48,設計,fail
8.1,0.32,6.2,32,設計,fail
6.7,0.79,8.3,24,傳播,fail
7.3,0.95,8.5,74,設計,pass
9.1,0.97,6.6,41,企管,fail
4.7,0.72,7.6,62,企管,fail
2.0,0.63,7.0,55,資工,fail
4.6,0.8,4.4,50,資工,fail
1.1,0.96,8.8,67,傳播,pass
6.9,0.81,4.5,74,傳播,pass
11.3,0.87,8.5,37,設計,fail
4.5,0.52,4.7,71,企管,fail
10.5,0.94,8.1,72,資工,pass
3.1,0.62,5.0,40,企管,fail
7.6,0.32,5.8,68,傳播,fail
4.2,0.83,6.0,52,企管,fail
3.3,0.58,5.6,71,設計,pass
10.3,0.61,7.7,59,傳播,fail
0.1,0.59,6.5,50,設計,fail
8.2,0.34,7.6,70,資工,fail
5.4,0.72,8.2,36,資工,fail
8.8,0.92,8.6,44,設計,fail
2.7,0.84,6.0,97,資工,pass
0.4,0.88,8.5,56,資工,fail
10.0,0.96,5.2,51,設計,pass
3.1,0.78,4.5,45,資工,fail
1.3,0.95,5.5,51,企管,fail
1.4,0.88,6.1,57,傳播,pass
2.6,0.51,6.0,86,設計,pass
8.1,0.91,4.1,66,傳播,pass
6.3,0.89,4.6,78,資工,pass
11.5,0.5,5.9,41,傳播,fail
11.7,0.45,5.8,54,資工,fail
8.6,0.75,8.7,72,資工,pass
6.9,0.89,4.4,34,設計,fail
4.7,0.33,5.4,25,設計,fail
8.2,0.41,5.5,59,企管,fail
5.4,0.39,6.1,75,設計,fail
2.0,0.49,5.1,46,資工,fail
6.8,0.74,7.4,44,設計,fail
4.0,0.83,5.1,33,設計,fail
10.9,0.52,8.4,73,企管,fail
9.3,0.44,4.7,82,企管,pass
6.9,0.68,6.4,69,傳播,pass
10.5,0.66,6.1,61,企管,pass
4.6,0.56,4.7,68,企管,fail
5.1,0.43,6.1,54,資工,fail
5.2,0.73,4.7,54,傳播,fail
10.9,0.45,8.5,73,資工,fail
1.1,0.36,5.7,61,傳播,fail
5.2,0.64,8.5,40,傳播,fail
10.1,0.64,7.1,46,傳播,fail
7.7,0.47,8.0,62,企管,fail
3.5,0.5,8.9,53,傳播,fail
7.5,0.31,5.2,39,企管,fail
1.5,0.47,4.0,100,設計,pass
0.1,0.96,7.3,76,傳播,pass
4.1,0.94,5.9,85,資工,pass
9.0,0.72,6.0,30,設計,fail
0.0,0.74,6.5,58,設計,fail
4.0,0.85,7.1,65,設計,pass
0.1,0.55,7.9,55,企管,fail
4.9,0.67,7.4,52,企管,fail
11.9,0.72,5.0,46,設計,fail
1.7,0.66,7.6,82,傳播,pass
11.0,0.86,7.7,70,企管,pass
8.9,0.51,4.4,40,企管,fail
1.3,0.53,8.4,42,企管,fail
9.2,0.55,8.6,31,傳播,fail
4.8,0.43,4.5,98,資工,pass
3.1,0.75,6.5,67,設計,fail
9.4,0.74,5.8,43,設計,fail
1.0,0.6,4.7,55,資工,fail
7.3,0.45,4.3,55,資工,fail
8.5,0.58,5.0,73,企管,fail
3.8,0.7,6.5,62,設計,pass
2.0,0.48,8.7,88,設計,pass
4.9,0.5,6.8,72,設計,fail
3.4,0.44,5.1,59,企管,fail
9.3,0.37,7.5,76,資工,pass
9.6,0.79,8.2,17,資工,fail
10.7,0.97,7.5,54,資工,pass
5.0,0.91,6.3,70,傳播,pass
0.2,0.52,5.0,61,資工,fail
1.6,0.32,6.9,62,傳播,fail
8.1,0.67,8.6,69,資工,fail
4.6,0.92,7.0,63,資工,pass
9.5,0.57,7.9,36,企管,fail
10.1,0.45,5.3,59,傳播,fail
9.7,0.92,7.8,55,設計,pass
0.6,0.95,7.6,47,傳播,fail
11.8,0.57,4.6,72,設計,pass
8.2,0.38,4.8,60,設計,fail
11.7,0.41,4.5,50,傳播,fail
3.3,0.32,7.0,44,企管,fail
11.7,0.42,6.1,75,設計,fail
7.6,0.73,7.5,66,設計,fail
11.1,0.73,5.4,86,資工,pass
4.7,0.54,7.9,42,資工,fail
5.3,0.68,6.2,37,設計,fail
5.7,0.52,4.8,79,企管,pass
4.4,0.88,6.3,62,資工,fail
6.5,0.4,6.6,44,設計,fail
1.1,0.85,4.5,40,傳播,fail
11.1,0.37,6.4,57,設計,fail
7.0,0.4,6.4,73,資工,fail
1.5,0.61,7.7,67,傳播,fail
2.0,0.31,8.9,49,設計,fail
3.3,0.84,5.4,85,資工,pass
6.0,0.58,8.5,51,企管,fail
8.4,0.71,8.4,57,企管,fail
10.6,0.35,6.2,49,企管,fail
4.0,0.79,6.1,75,企管,pass
7.5,0.72,7.7,31,傳播,fail
2.4,0.51,6.0,55,資工,fail
9.9,0.83,8.5,46,設計,fail
7.5,0.34,7.3,81,設計,fail
8.8,0.79,7.6,86,設計,pass
6.5,0.47,4.0,47,企管,fail
1.1,0.9,5.0,70,資工,pass
10.8,0.84,8.2,50,設計,pass
8.1,0.54,5.0,68,企管,fail
11.5,0.51,8.0,85,資工,pass
6.2,0.89,7.4,62,設計,pass
3.7,0.77,7.1,67,資工,pass
3.2,0.85,8.5,32,企管,fail
11.6,0.97,8.1,53,設計,fail
5.8,0.96,8.6,81,設計,pass
11.6,0.67,7.9,68,企管,pass
6.5,0.49,5.6,66,資工,fail
6.6,0.77,7.1,81,傳播,pass
9.6,0.51,6.3,69,設計,pass
5.6,0.71,4.8,71,傳播,pass
8.6,0.65,5.7,77,企管,pass
5.3,0.96,5.7,57,企管,pass
7.3,0.38,7.1,40,企管,fail
11.6,0.74,7.3,75,傳播,pass
11.1,0.66,4.9,75,企管,pass
8.2,0.57,7.4,51,資工,fail
9.2,0.89,6.1,63,企管,pass
10.1,0.53,6.3,68,設計,pass
7.4,0.88,7.5,66,傳播,pass
2.0,0.87,4.7,54,設計,fail
5.2,0.96,4.1,51,資工,pass
4.3,0.43,6.5,56,傳播,fail
11.0,0.5,5.7,79,傳播,fail
2.7,0.33,7.2,76,傳播,fail
3.1,0.39,4.1,34,設計,fail
0.5,0.94,5.0,49,設計,fail
6.7,0.93,8.2,62,傳播,pass
1.2,0.96,4.5,45,企管,fail
7.0,0.59,5.7,69,傳播,fail
11.0,0.43,7.8,40,企管,fail
3.4,0.86,6.6,72,資工,pass
5.8,0.84,8.5,89,企管,pass
7.7,0.55,4.2,73,設計,fail
1.6,0.7,6.5,46,資工,fail
9.6,0.89,7.5,54,設計,fail
5.4,0.58,5.3,59,設計,fail
6.8,0.51,6.4,45,傳播,fail
10.0,0.36,6.3,56,資工,fail
9.2,0.43,4.2,20,設計,fail
5.5,0.52,7.1,48,企管,fail
6.5,0.98,5.0,63,傳播,pass
7.1,0.88,8.8,84,設計,pass
4.5,0.56,8.4,45,傳播,fail
7.3,0.65,5.1,38,資工,fail
11.4,0.9,6.8,56,傳播,fail
6.1,0.62,5.1,41,資工,fail
2.4,0.58,8.2,52,企管,fail
7.2,0.73,8.0,34,企管,fail
6.6,0.95,4.8,72,資工,pass
3.3,0.78,7.5,76,傳播,pass
7.7,0.99,7.7,48,設計,pass
5.2,0.59,4.5,48,設計,fail
6.9,0.38,7.2,68,企管,fail
11.5,0.73,4.8,50,設計,fail
10.9,0.8,8.9,33,企管,fail
1.3,0.78,4.6,85,企管,pass
2.4,0.43,4.5,39,資工,fail
5.5,0.78,4.6,60,資工,pass
4.2,0.73,6.9,52,設計,fail
8.1,0.88,4.5,87,資工,pass
10.1,0.49,5.3,69,企管,pass
4.5,0.82,7.3,45,設計,fail
3.2,0.51,5.5,63,資工,fail
9.4,0.93,4.2,43,企管,fail
6.1,0.79,7.9,43,設計,fail
8.6,0.42,6.6,47,資工,fail
8.2,0.3,4.9,46,設計,fail
